idstud,bsmmat01,bsssci01,bsbg01,bsbg03,bsdage,bsbgher,bsbgsbs,bsbgslm,bsbgsvm,bsbgscm,bsbgeml,bsdgedup,bsdmwkhw,bcbg01,bcbg03a,bcbg05a,schsc14q02,schsc22q01,schsc22q09,schsc22q11,schsc24q01,schscmatedu,schsmratio,escs,pv1math,pv1read,pv1scie,r9schooltype,a9q7,bQ1
4340108,526.96272,508.82102,2,1,14.166666666666666,8.91919,8.81989,9.60333,8.55351,8.93142,9.15641,3,1,107,3,6,1,4,1,3,3,-0.256,68.667,-0.2,464.9556,499.5133,493.0436,1,4,4
4560308,645.47765,728.36052,2,1,15.416666666666666,8.19314,8.81989,12.07123,10.35139,10.80346,9.6346,4,2,706,1,2,2,4,4,4,2,-1.0989,231,-0.14,522.8307,381.7076,507.7769,1,4,4
4460313,478.92826,575.32406,2,1,14.75,10.92551,9.62932,8.60159,7.57539,7.24499,10.15325,1,1,881,1,2,1,2,3,3,2,0.5021,174,0.16,429.3582,477.8608,468.5192,1,4,4
5060206,546.33764,523.37781,1,1,14.5,12.21628,13.03951,6.36452,8.20673,9.61942,5.86845,NA,3,365,4,1,2,2,2,2,2,0.0872,135.333,0.42,481.7028,413.7601,450.3357,1,5,4
4800114,545.57841,551.25744,2,2,15.166666666666666,10.04151,8.48873,9.965,8.55351,10.30668,8.70884,NA,2,441,1,5,3,3,3,2,3,-1.5162,144.667,-0.12,530.3864,413.7052,534.0731,1,3,2
4520119,556.1465,610.10064,2,1,15,9.60097,8.48873,8.26761,7.2741,7.89169,8.70884,4,1,1287,1,1,1,2,1,1,2,0.7756,145.778,-0.27,585.2236,551.1586,543.398,2,3,4
3370116,610.1692,587.87069,1,1,15.166666666666666,12.51743,10.19817,12.07123,8.55351,10.07332,10.15325,1,1,377,1,5,1,3,1,1,3,0.7756,90.5,0.63,529.919,592.7182,537.1503,1,5,NA
4240120,688.50332,672.70905,1,2,15.083333333333334,14.01827,11.04872,13.46507,13.70742,14.02271,12.42205,1,2,858,2,1,1,2,3,3,1,-0.9168,166.909,0.99,665.6878,661.7437,604.1029,2,6,4
4400119,597.78968,655.37854,2,1,14.916666666666666,10.25396,10.19817,10.35777,9.81093,10.54867,9.6346,2,1,907,3,2,2,4,4,2,2,-0.256,155.5,0.36,557.1039,505.1269,537.5233,1,3,4
4740219,479.79129,498.14337,1,2,15.083333333333334,10.92551,13.03951,9.60333,8.20673,8.17383,7.85736,2,1,366,4,1,1,2,3,2,2,-0.4184,120.667,0.66,343.9087,352.2805,355.9679,1,5,3
4210327,462.44947,453.70628,2,1,14.25,10.92551,11.24035,10.35777,11.9425,9.61942,12.42205,1,1,971,1,4,1,2,2,2,3,0.2803,169.167,0.13,493.3868,416.8328,425.8113,1,5,4
3540207,430.98007,445.73317,1,1,15.333333333333334,10.25396,13.03951,8.93041,9.81093,9.16491,10.74331,3,2,369,2,1,1,3,2,1,2,-0.0892,197.5,0.72,372.9631,414.7927,394.5729,1,3,4
5070213,373.54424,396.69605,1,1,14.916666666666666,10.25396,13.03951,11.33851,7.2741,9.39344,11.44903,2,1,436,NA,6,2,2,3,3,2,-0.4184,119.333,0.36,361.5906,444.9765,379.2801,1,6,NA
3560309,538.68211,500.12341,1,1,14.75,11.64917,13.03951,12.07123,8.55351,9.61942,10.15325,1,2,756,3,1,2,3,3,3,2,1.1595,145.091,0.64,512.6266,547.6808,545.263,1,4,3
3320412,545.42243,565.21532,1,1,14.25,14.01827,11.04872,8.60159,8.20673,9.39344,9.15641,1,2,1426,NA,1,1,3,1,1,2,0.2803,NA,0.64,563.647,575.1639,547.2212,1,3,2
4320323,520.32731,565.19131,2,1,14.25,11.64917,10.19817,12.07123,9.81093,10.54867,10.15325,1,2,367,NA,2,1,2,1,3,2,1.1595,98.5,0.03,446.7285,473.3699,502.3685,3,4,4
4980208,514.7422,568.47568,1,1,14.583333333333334,12.51743,10.19817,7.03246,8.20673,9.39344,7.42878,1,2,590,3,1,2,3,3,2,2,0.0872,125.6,0.43,435.7454,417.7316,496.9601,1,4,4
4690307,529.75114,545.38637,2,1,15.25,9.60097,11.04872,10.35777,8.20673,8.17383,8.27843,4,2,903,1,1,2,3,2,3,1,-0.5803,176.4,-0.54,475.0039,462.7041,467.307,1,4,NA
4700121,651.4764,651.43841,1,1,15.25,10.92551,8.81989,9.965,11.9425,10.80346,9.15641,1,1,1590,1,1,1,4,4,3,3,-0.9168,218,0.58,547.7567,520.4359,535.0056,1,3,4
3300219,515.0384,503.58552,2,1,15,7.30445,8.48873,5.03748,7.88323,3.17837,6.47491,NA,2,837,3,2,1,3,1,3,3,0.0872,136.333,-0.38,409.1058,472.2472,444.2745,1,4,4
3630314,492.77059,589.50944,2,1,14.916666666666666,11.64917,6.83195,8.60159,4.82293,9.39344,9.15641,2,1,1209,1,2,4,4,3,4,3,-0.4184,132.526,0.4,431.695,482.6725,503.9537,1,5,2
4840216,515.66009,473.77058,1,1,14.75,8.91919,9.62932,10.80246,10.35139,6.39359,7.85736,4,2,883,2,3,2,2,1,2,2,-0.4184,190,-0.02,466.7472,437.7482,421.8948,1,3,4
4190310,375.88931,432.81796,1,3,14,7.30445,11.04872,9.965,9.34439,8.69047,8.70884,NA,1,516,1,5,1,2,3,3,3,0.2803,118.889,-0.75,413.7794,359.9853,430.567,1,5,NA
